Timestamp,Program Studi,Tahun Masuk UIN Jakarta,Tahun Wisuda,Bulan Wisuda,Status saat ini,Waktu Mendapatkan Pekerjaan,Perusahaan,Posisi,Tahun Wirausaha,Bidang wirausaha,Penghasilan,Tahun Masuk S2,Universitas S2,Tahun Masuk S3,Universitas S3,Nama Prodi S2/S3,Kesesuaian Kurikulum,Kesesuaian Bidang Ilmu,Saran
7/3/2024 8:36,Prodi Teknik Pertambangan,2019,2023,November,Karyawan Swasta,3,PT Geo Artha Selaras,Jr. Mineplan Engineer,,,6000000,,,,,,3,5,"perbanyak MoU dengan perusahaan tambang dan perbaiki sistem pembelajaran matakuliah praktikum mineplan, sesuaikan dengan kebutuhan perusahaan, sehingga nantinya mahasiswa yang lulus dari UIN Jakarta Program Studi Teknik pertambangan dapat menguasai skill penggunaan software tambang dengan baik"
7/3/2024 8:51,Prodi Teknik Pertambangan,2019,2023,Februari,Karyawan Swasta,1,,,,,,,,,,,4,5,"Sudah bagus, mungkin perlu ditingkatkan lagi keberlanjutan kerjasama dengan perusahaan-perusahaan tambang nya, sehingga mahasiswa yang hendak melakukan KP atau TA dapat relasi dengan mudah"
7/3/2024 9:05,Prodi Teknik Pertambangan,2017,2024,Juni,Karyawan Swasta,1,PT Lemanraya Jagad Utama,Account Manager,,,8000000,,,,,,5,4,"Sudah berjalan dengan baik, mohon untuk dipertahankan"
7/3/2024 9:24,Prodi Teknik Pertambangan,2019,2024,Februari,Karyawan Swasta,1,Bumi Nusantara Jaya,Field Officer Quality Control,,,,,,,,,4,4,
7/3/2024 10:26,Prodi Agribisnis S1,2008,2015,November,Pengajar,1,Unpam,Dosen,2017,Jasa traik tunai ,1000000,2016,IPB,,,Ilmu Ekonomi pertanian,3,3,Kerja sama dengan perusahaan
7/3/2024 16:05,Prodi Teknik Pertambangan,2017,2024,Juni,Wirausaha,,,,2014,Bisnis Olshop,2000000,,,,,,3,4,Perlu dikembangkan lagi untuk laboratorium dan juga diperbanyak untuk praktik di lapangannya agar dapat menunjang ilmu pengetahuan setelah lulus
7/3/2024 16:58,Prodi Teknik Pertambangan,2019,2024,Juni,Melamar Pekerjaan,,,,,,2000000,0,,,,,4,4,
7/3/2024 17:11,Prodi Kimia,2017,2021,November,ASN/PNS,1,Fakultas Kedokteran UPN “Veteran” Jakarta,Laboran,,,5000000,,,,,,4,4,semoga akrenya cepet naik jadi A!!
7/3/2024 17:30,Prodi Agribisnis S1,2017,2024,Agustus,Karyawan Swasta,1,PT. Maju Usaha Inovasi,Staff,,,8000000,,,,,,4,2,
7/3/2024 21:24,Prodi Agribisnis S1,2017,2024,Agustus,Melamar Pekerjaan,,,,,,,,,,,,4,4,
7/3/2024 22:01,Prodi Biologi,2016,2021,Februari,Karyawan Swasta,1,"UNDP Indonesia/ PPN Bappenas, Rainforest Alliance Indonesia",,,,,,,,,,4,4,
7/4/2024 11:08,Prodi Agribisnis S1,2018,2024,Juni,Melamar Pekerjaan,,,,,,,,,,,,5,5,
